"Breed Name","Positive review count","Total count","Positive percentage","Negative percentage"
"german shepherd","79","112","70.5357142857","29.4642857143"
"labrador","46","53","86.7924528302","13.2075471698"
"pug","29","42","69.0476190476","30.9523809524"
"dachshund","2","4","50.0","50.0"
"bernard","2","4","50.0","50.0"
"rottweiler","8","13","61.5384615385","38.4615384615"
"dane","8","9","88.8888888889","11.1111111111"
"bull dog","2","4","50.0","50.0"
"boxer","2","4","50.0","50.0"
"retriever","12","19","63.1578947368","36.8421052632"
"beagle","11","17","64.7058823529","35.2941176471"
"part","5","12","41.6666666667","58.3333333333"
"cocker spaniel","27","28","96.4285714286","3.57142857143"
"brand dog","2","2","100.0","0.0"
"tzu","2","4","50.0","50.0"
"crack","0","2","0.0","100.0"
"terrier","0","2","0.0","100.0"
"husky","1","1","100.0","0.0"
"mastiff","2","2","100.0","0.0"
"mutt","0","1","0.0","100.0"
"furbaby","1","1","100.0","0.0"
"bosco","2","5","40.0","60.0"
