brand_id,aspect_name,keyword,sentiment_type,lexicon_type,classification_type
1,body-parts-eyes,eyes,,A,sentiment
1,body-parts-eyes,eyesight,,A,sentiment
1,body-parts-eyes,eye sight,,A,sentiment
1,body-parts-eyes,eye,,A,sentiment
1,body-parts-eyes,vision,,A,sentiment
1,body-parts-muscles,muscles,,A,sentiment
1,body-parts-muscles,bones,,A,sentiment
1,body-parts-muscles,muscle,,A,sentiment
1,body-parts-paws,paw,,A,sentiment
1,body-parts-paws,paws,,A,sentiment
1,body-parts-paws,feet,,A,sentiment
1,body-parts-paws,legs,,A,sentiment
1,body-parts-paws,leg,,A,sentiment
1,body-parts-skin,fur,,A,sentiment
1,body-parts-skin,skin,,A,sentiment
1,body-parts-skin,coat,,A,sentiment
1,body-parts,hair,,A,sentiment
1,body-parts,tails,,A,sentiment
1,body-parts,tail,,A,sentiment
1,body-parts,body,,A,sentiment
1,body-parts,glands,,A,sentiment
1,body-parts,ears,,A,sentiment
1,body-parts,neck,,A,sentiment
1,competitors-others,pet shops,,A,sentiment
1,competitors-others,meijer store,,A,sentiment
1,competitors-others,wal-mart,,A,sentiment
1,competitors-others,mcdonalds,,A,sentiment
1,competitors-others,store-bought,,A,sentiment
1,competitors-others,box stores,,A,sentiment
1,competitors-others,grocery store,,A,sentiment
1,competitors-others,grocery stores,,A,sentiment
1,competitors-others,pet store,,A,sentiment
1,competitors-others,pet stores,,A,sentiment
1,competitors-others,supermarket,,A,sentiment
1,competitors-others,walmart,,A,sentiment
1,competitors-others,pet shops,,A,sentiment
1,competitors-others,meijer store,,A,sentiment
1,competitors-others,wal-mart,,A,sentiment
1,competitors-others,mcdonalds,,A,sentiment
1,competitors-others,grocery,,A,sentiment
1,competitors-others,grocery store,,A,sentiment
1,competitors-others,grocery stores,,A,sentiment
1,competitors-others,pet store,,A,sentiment
1,competitors-others,pet stores,,A,sentiment
1,competitors-others,supermarket,,A,sentiment
1,competitors-others,walmart,,A,sentiment
1,competitors-others,zip,,A,sentiment
1,competitors-others,zipper,,A,sentiment
1,competitors-others,canidae,,A,sentiment
