"brand_name","id","product_id","review_text","reviewer_id","reviewer_name","source_name","source_review_id","star_rating"
"Pedigree","114442","77","Dear Saurabh,Were sorry to hear about your unfortunate experience and would like a chance to rectify and make it right. We request you to contact our consumer care center at 1800 407 11 21 21 (Toll free) between 8:30 am to 5:00 pm, from Monday to Friday.Regards, Team Pedigree","amzn1.account.AGF4BT4LDSNAXVCGMC334Q6RBOVQ","Pedigree Expert","Amazon India","","0"
"Pedigree","114474","80","Dear Customer, Pets are fussy eaters during summer due to heat. Hence we suggest to mix feeding wet gravy + dry food. It will provide both water and taste encouraging pet to eat.Regards, Team Pedigree","amzn1.account.AGF4BT4LDSNAXVCGMC334Q6RBOVQ","Pedigree Expert","Amazon India","","0"
"Pedigree","114486","81","Dear Abhishek,Were sorry to hear about your unfortunate experience and recommend you to contact us as we would be happy to offer a free replacement.  We request you to contact our consumer care center at 1800 407 11 21 21 (Toll free) between 8:30 am to 5:00 pm, from Monday to Friday.Regards,Team Pedigree","amzn1.account.AGF4BT4LDSNAXVCGMC334Q6RBOVQ","Pedigree Expert","Amazon India","","0"
"Pedigree","114496","82","Dear Customer,Were sorry to hear about your unfortunate experience and would like a chance to rectify and make it right. We request you to contact our support team on our toll free number 1800407112121, our consumer care center is reachable between 8:30 am to 5:00 pm, from Monday to Friday.Regards,Team Pedigree","amzn1.account.AGF4BT4LDSNAXVCGMC334Q6RBOVQ","Pedigree Expert","Amazon India","","0"
"Whiskas","114559","92","Dear Shagufta, Whiskas cat food provides pet owners with a range of meticulously pre-tested, balanced diets of proven nutrition for cats. Mars Inc maintains advanced testing facilities to evaluate the nutritional efficacy, Palatability and digestibility, safety and the practicality of their products like Whiskas. It is unlikely that Whiskas causes smelly feces. Make sure that you feed only the Whiskas food and not mix it with any home made food. If smell persists, we suggest you to take your vets opinion. Regards, Team Whiskas","amzn1.account.AFPP5VOCR7RGA3XTBF7HO5TKYAUA","Whiskas Expert","Amazon India","","0"
"Whiskas","114591","95","you should have adopted Indian cats. they are dying in streets, and you are boasting about your imported cats. Please refrain from such explicit language.","amzn1.account.AGK3CK26IVIHEA54IYSYMZC2POUQ","Apy seth","Amazon India","","0"
"Whiskas","114593","95","Dear Customer,Were sorry to hear about your unfortunate experience and recommend you to contact us on our consumer care center at 1800 407 11 21 21 (Toll free) between 8:30 am to 5:00 pm, from Monday to Friday.Regards, Team Whiskas","amzn1.account.AFPP5VOCR7RGA3XTBF7HO5TKYAUA","Whiskas Expert","Amazon India","","0"
"Whiskas","114626","105","actually even I was duped. I did not check it up immediately. Realized today when I opened the package.","amzn1.account.AFTSD67HJY7C7CSOLMJL4NJ45NUA","Amazon Customer","Amazon India","","0"
"Pedigree","114675","31","Dear Himanshu,Were sorry to hear about your unfortunate experience and we would like to understand the issue better. We request you to contact our consumer care center at 1800 407 11 21 21 (Toll free) between 8:30 am to 5:00 pm, from Monday to Friday.Regards, Team Pedigree","amzn1.account.AGF4BT4LDSNAXVCGMC334Q6RBOVQ","Pedigree Expert","Amazon India","","0"
"Pedigree","114688","27","Dear Vipin,We are sorry to hear about your unfortunate experience. We request you to contact our consumer care center at 1800 407 11 21 21 (Toll free) between 8:30 am to 5:00 pm, from Monday to Friday. Our associate will be more than happy to help you.Regards, Team Pedigree","amzn1.account.AGF4BT4LDSNAXVCGMC334Q6RBOVQ","Pedigree Expert","Amazon India","","0"
