"","confidence_score","id","polarity","response_confidence_score","review_text","reviewer_id","reviewer_name","source_name","source_review_id","star_rating","response","response_2","response_3","degree"
"0","90.99","105991","positive","0.0","A very good product !","amzn1.account.AGVQNIPYENU7RWEPM7CV7WMYVH5Q","KAUSHIK BOSE","Amazon India","R120KYCEAU6XVK","5","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"1","-94.68","105992","negative","100.0","Like so many other complains, my dog too got sick after eating this.","amzn1.account.AHFGE63ITL73TGYGSSIOXQUQEC4A","Pritha S.","Amazon India","R2OCOW9PV0M1G1","1","DearPritha S., We apologize for the inconvenience caused. Please get in touch with us on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree.","","",""
"2","98.09","105993","positive","98.0","Great treat for your furry friends.My dogs love it n it's good for their teeth.","amzn1.account.AGIZBK3RXD2KSP3MBCCHCTFO54EQ","CDJ","Amazon India","R27RX5MUUX6XXM","5","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"3","-43.71","105994","negative","98.0","Use less","amzn1.account.AEXSVK4ROK2DTV65I7ITGE7QXHMA","Shyam Reddy.","Amazon India","R1HAOURA62CIL5","1","DearShyam Reddy., We apologize for the inconvenience caused. We request you to share your contact details so that we can assist you better on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree.","","",""
"4","98.33","105995","positive","0.0","A good product, loved by my pet.","amzn1.account.AG5E2OXPJ2RS4AQ6VIQ7UT2OLOWQ","Sudhir Chandra","Amazon India","R1SNCGG5OBLGGM","4","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"5","44.245","105996","positive","0.0","Good product","amzn1.account.AF4FCLLWPCP2CWJIPMASGIWI5NAA","Sandeep","Amazon India","R103YU1WWLELF","5","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
"6","88.95","105997","positive","98.0","Jerry loves it. :')","amzn1.account.AGN3SAJA3PRSVWYBRVBNX4HKFE2Q","Pulkit","Amazon India","R3T7TSXIGMD2UP","5","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"7","47.725","105998","positive","100.0","Best price 108","amzn1.account.AGLP6SIN2W7XS3M7KGPSDUMJER5Q","Ravinder rana","Amazon India","RJ1CIA9SSSM41","5","We are happy that the product met your expectations! Thanks customer name for leaving the review.","","",""
"8","98.27","105999","positive","0.0","Nice product my dog loved it","amzn1.account.AHGD2JGSTISAYBVZD4GZCF3675SQ","Rahul Sabharwal","Amazon India","R350QD5SLWQR2D","5","Our customers are our first priority. We are happy that the food was liked by your dog!","","",""
"9","89.38","106000","positive","100.0","My doggie is so happy.","amzn1.account.AHF4K6ECOCXWEN3YTOYZTYXU2R2Q","TARUN SAHU","Amazon India","R2DIMYM7QPY6OO","5.0 out of 5 stars","Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!","","",""
