"aspect","aspect_keyword","aspect_sentiment","confidence_score","flag","id","polarity","response_confidence_score","review_text","reviewer_id","reviewer_name","sentiment_keyword","source_name","source_review_id","star_rating","response"
"[dog-user-breed, health-toxic, health-vomit, product-overall, health-toxic, health-vomit]","[shepherd, german shepherd, vomited, vomited, dog]","[[vomited], [vomited]]","-100.0","2","112570","negative","97.24","The same thing happened to my German Shepherd senior dog. Vomited plain bile one day and blood on the other. He even had passed blood in stools. !! Now realise why i dint get alert after the first telltale signs of putting this gravy! All dog lovers please be extremely cautious while introducing such chemical- laced foods. Please take the time to give him home cooked meals.","amzn1.account.AH254SXTBTT7KU6CCLKKXOHVFFVA","Amazon Customer","[[vomited]]","Amazon India","Mx161SNL9KB1S36","0","Dear Amazon Customer, We are deeply saddened to hear about your dog. We request you to share your contact details so that we can assist you ASAP on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[seller]","[seller]","[]","44.245","1","114004","neutral","100.0","May I ask which was the other seller you had mentioned? Thanks","amzn1.account.AFLAEB5YJ5J7VJ7Y3UO3NKKMFZUQ","A. A","[[thanks]]","Amazon India","Mx1CG72HNSR0PGF","0","Dear A. A, for any queries and facts regarding your dog/cat please refer to the FAQs on our officil site https://www.pedigree.com/faqs. Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[]","[]","[]","47.585","0","113727","positive","98.0","Its awesome that you are feeding street dogs. Keep it up!","amzn1.account.AGHQPWUUTFVN6XEYDS4TH4JMF6LA","Abhishek S.","[[awesome]]","Amazon India","Mx1GGVT6HV1YMUH","0","Dear Abhishek S.,Thanks, we appreciate your feedback. "
"[]","[]","[]","0.0","0","112730","negative","98.0","thnx","amzn1.account.AF2VACQZ2PVELNEGTIYBPHOZNSAQ","Amazon Customer","[]","Amazon India","Mx1JSLWRNBAPXQC","0","Dear Amazon Customer,Thanks, we appreciate your feedback. "
"[]","[]","[]","-100.0","2","112490","negative","91.63","you should have adopted Indian cats. they are dying in streets, and you are boasting about your imported cats. Please refrain from such explicit language.","amzn1.account.AGK3CK26IVIHEA54IYSYMZC2POUQ","Amazon Customer","[[dying]]","Amazon India","Mx1QL2A7YIUKSZO","0","Dear Amazon Customer, We are deeply saddened to hear about your dog. We request you to share your contact details so that we can assist you ASAP on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[packaging, packaging]","[package]","[[opened]]","-52.0966666667","0","112479","negative","98.0","actually even I was duped. I did not check it up immediately. Realized today when I opened the package.","amzn1.account.AFTSD67HJY7C7CSOLMJL4NJ45NUA","Amazon Customer","[[opened]]","Amazon India","Mx1YAJXC30CYY33","0","Dear Amazon Customer, We apologize for the inconvenience caused. Please get in touch with us on our toll-free number 1800-4071-12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[etailers, price, product-overall, vfm]","[market, price, item, price]","[]","35.868","0","113949","positive","100.0","I do understand your point. There aren't enough players in the market to keep the price in check.It is non returnable item and now you .must be persistent to resolve this. Good luck.","amzn1.account.AFTQYJZYW6P5NOOJFBDKTDAQ5WMA","Karmic Voice","[[enough, returnable, good, luck]]","Amazon India","Mx1ZDIVSQSH0HJ2","0","Dear Karmic Voice, We're upbeat that you and your dog are content with the product! Thanks for composing back! Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[deals-offers, product-overall]","[offer, pedigree]","[]","47.725","0","113855","positive","100.0","Thank you for the review, i was about to buy pedigree in bulk for my street dogs as there is interesting offer ... now i have dropped the plan after reading your review.","amzn1.account.AGDHRWDGH6WQZKJ2X5VK67JTUDSQ","Amazon Customer","[[thank, interesting, thank you]]","Amazon India","Mx20KBGJ3KWS14R","0","Dear Amazon Customer, Glad to understand that your dog prefers pedigree! Continue writing your magnificent encounters to everyone. Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
"[]","[]","[]","43.71","0","112731","positive","98.0","nice one","amzn1.account.AE7BV63YIENWMNHSXGPV2WHQB2LA","Amazon Customer","[[nice]]","Amazon India","Mx2USI1UI6BHFGU","0","Dear Amazon Customer,Thanks, we appreciate your feedback. "
"[deals-offers, food-ingredients, packaging, price, product-overall, vfm]","[discount, chicken, vegetables, bag, price, prices, pedigree, price]","[]","-26.4433333333","1","113951","neutral","100.0","how much discount they provide? But one thing is very nagging that Pedigree is just keep on increasing the price while chicken and vegetables prices are almost stable for last three years in India ?In one time I found their bag was having less quantity than 3kgs almost 400grams less which I sent email to them but they never replied..","amzn1.account.AF3Z4OMCBPXYSSRZY3K5DMSS4D3A","Raja","[[nagging, stable, last, less]]","Amazon India","Mx2VXXW7371LNJA","0","Dear Raja, for any queries and facts regarding your dog/cat please refer to the FAQs on our officil site https://www.pedigree.com/faqs. Please feel free to reach us on our toll free number 1800-4071-12121 or write to us at pedigree.india@effem.com for any further assistance. Regards Team Pedigree."
