aspect,aspect_keyword,flag,id,review_text,reviewer_id,reviewer_name,sentiment_score,source_name,source_review_id,star_rating,response
"[all, dont_reply]",[product],3,105991.0,A very good product !,amzn1.account.AGVQNIPYENU7RWEPM7CV7WMYVH5Q,KAUSHIK BOSE,99.36,Amazon India,R120KYCEAU6XVK,5,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[health_impact],[sick],0,105992.0,"Like so many other complains, my dog too got sick after eating this.",amzn1.account.AHFGE63ITL73TGYGSSIOXQUQEC4A,Pritha S.,-99.97,Amazon India,R2OCOW9PV0M1G1,1,"DearPritha S., We apologize for the inconvenience caused. We request you to share your contact details so that we can assist you better on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
[],[],0,105993.0,Great treat for your furry friends.My dogs love it n it's good for their teeth.,amzn1.account.AGIZBK3RXD2KSP3MBCCHCTFO54EQ,CDJ,99.965,Amazon India,R27RX5MUUX6XXM,5,Our customers are our first priority. We are happy that the food was liked by your dog!
[],[],0,105994.0,Use less,amzn1.account.AEXSVK4ROK2DTV65I7ITGE7QXHMA,Shyam Reddy.,-48.175000000000004,Amazon India,R1HAOURA62CIL5,1,"DearShyam Reddy., We apologize for the inconvenience caused. Please get in touch with us on our toll free number 1800 4071 12121 or write to us at pedigree.india@effem.com. Regards Team Pedigree."
"[all, dont_reply]",[product],3,105995.0,"A good product, loved by my pet.",amzn1.account.AG5E2OXPJ2RS4AQ6VIQ7UT2OLOWQ,Sudhir Chandra,99.97,Amazon India,R1SNCGG5OBLGGM,4,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
"[all, dont_reply]",[product],3,105996.0,Good product,amzn1.account.AF4FCLLWPCP2CWJIPMASGIWI5NAA,Sandeep,48.355,Amazon India,R103YU1WWLELF,5,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,105997.0,Jerry loves it. :'),amzn1.account.AGN3SAJA3PRSVWYBRVBNX4HKFE2Q,Pulkit,94.92,Amazon India,R3T7TSXIGMD2UP,5,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[pricing],[price],0,105998.0,Best price 108,amzn1.account.AGLP6SIN2W7XS3M7KGPSDUMJER5Q,Ravinder rana,49.730000000000004,Amazon India,RJ1CIA9SSSM41,5,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
"[all, dont_reply]",[product],3,105999.0,Nice product my dog loved it,amzn1.account.AHGD2JGSTISAYBVZD4GZCF3675SQ,Rahul Sabharwal,99.95,Amazon India,R350QD5SLWQR2D,5,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[dog-user-breed],[doggie],0,106000.0,My doggie is so happy.,amzn1.account.AHF4K6ECOCXWEN3YTOYZTYXU2R2Q,TARUN SAHU,99.5,Amazon India,R2DIMYM7QPY6OO,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106001.0,thanks,amzn1.account.AGJCFXA3BQDVN7AVO2UJEYHVOMVQ,S Agarwal,44.245000000000005,Amazon India,R1KX316Y1IM9PS,5.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
"[all, dog-user-breed]","[product, pug]",0,106002.0,"My pug went for it and finished it in seconds which is so unlike him. So, it must have felt nice. I bought the small sized ones and I hope he'll continue to like this product.",amzn1.account.AFO454D27IIC7ZK75UIFPGMLCAAA,Ananth Prakash,66.51666666666667,Amazon India,R3GPO3XDR43FBF,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
"[all, dont_reply]",[product],3,106003.0,good product.,amzn1.account.AGMQDEKQ2HRWI4SQP7LJSA7YTRQA,Amazon Customer,48.355,Amazon India,R1B3IUOZ9H2PCH,5.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
[],[],0,106004.0,goood,amzn1.account.AFMZA4BUGOYGXNMCWPGRLGDMFO7Q,Amazon Customer,0.0,Amazon India,R1QXU2EL7V62TN,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106005.0,my dog loves it,amzn1.account.AF4OZJ2ICXPM2KV7HTJUQI7F3T2Q,Arun,98.94,Amazon India,RQKKR3J8E33NO,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106006.0,v gud,amzn1.account.AHDR2H3I2W7AIJP6ZCE6NYXEWOSQ,Prachi,48.355,Amazon India,R2PWBP26SG4GJP,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
"[all, dog-user-breed]","[amazon, pedigree, product, order, pug]",0,106007.0,My pug just love this she is eating this and enjoying very much thanx Amazon and pedigree nice product before order please check your dog age,amzn1.account.AEZ6JQKOWOOSO2YSVB6EO5DI6WMA,satish sutar,100.0,Amazon India,R1WQKCVNCFP576,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[pricing],"[penny, every penny]",0,106008.0,Worth every penny. My little girl loves it.,amzn1.account.AGHKQHM3UWK2TQ4LCJB2PGJUQAYQ,Ashutosh Choksi,98.91,Amazon India,R2REIVYXH0WH90,5.0 out of 5 stars,Our customers are our first priority. We are happy that the food was liked by your dog!
[],[],0,106009.0,my kids love it,amzn1.account.AEVMZW5DFBVAX46BJIQBSYJPZ2RQ,feroza,99.65,Amazon India,R2ZE6S6I9EU0EZ,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
[],[],0,106010.0,gode,amzn1.account.AH2HI5S662LSLXLE3RSUUSUY3E6A,Amazon Customer,0.0,Amazon India,R3INKTUUPBPI3F,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
"[all, dont_reply]",[product],3,106011.0,The product is good.,amzn1.account.AHU62WBW4CG7MXFKXWMC5HZTGPOA,Sathish Nair,99.15,Amazon India,R2XAE58HPFFUAU,5.0 out of 5 stars,We are happy that the product met your expectations! Thanks customer name for leaving the review.
[],[],0,106012.0,"Good, not only Dog even my cat loved it.",amzn1.account.AFHGW36CFGDK2ISJ2K55RR5IYDPQ,A Pachuau,99.98,Amazon India,R20QFNV7IX63HB,5.0 out of 5 stars,Glad that your pet liked it customer name. Thanks for writing back and keep sharing your wonderful experiences with us!
