id,review_text,reviewer_id,reviewer_name,source_name,source_review_id,star_rating
105991.0,A very good product !,amzn1.account.AGVQNIPYENU7RWEPM7CV7WMYVH5Q,KAUSHIK BOSE,Amazon India,R120KYCEAU6XVK,5
105992.0,"Like so many other complains, my dog too got sick after eating this.",amzn1.account.AHFGE63ITL73TGYGSSIOXQUQEC4A,Pritha S.,Amazon India,R2OCOW9PV0M1G1,1
105993.0,Great treat for your furry friends.My dogs love it n it's good for their teeth.,amzn1.account.AGIZBK3RXD2KSP3MBCCHCTFO54EQ,CDJ,Amazon India,R27RX5MUUX6XXM,5
105994.0,Use less,amzn1.account.AEXSVK4ROK2DTV65I7ITGE7QXHMA,Shyam Reddy.,Amazon India,R1HAOURA62CIL5,1
105995.0,"A good product, loved by my pet.",amzn1.account.AG5E2OXPJ2RS4AQ6VIQ7UT2OLOWQ,Sudhir Chandra,Amazon India,R1SNCGG5OBLGGM,4
105996.0,Good product,amzn1.account.AF4FCLLWPCP2CWJIPMASGIWI5NAA,Sandeep,Amazon India,R103YU1WWLELF,5
105997.0,Jerry loves it. :'),amzn1.account.AGN3SAJA3PRSVWYBRVBNX4HKFE2Q,Pulkit,Amazon India,R3T7TSXIGMD2UP,5
105998.0,Best price 108,amzn1.account.AGLP6SIN2W7XS3M7KGPSDUMJER5Q,Ravinder rana,Amazon India,RJ1CIA9SSSM41,5
105999.0,Nice product my dog loved it,amzn1.account.AHGD2JGSTISAYBVZD4GZCF3675SQ,Rahul Sabharwal,Amazon India,R350QD5SLWQR2D,5
106000.0,My doggie is so happy.,amzn1.account.AHF4K6ECOCXWEN3YTOYZTYXU2R2Q,TARUN SAHU,Amazon India,R2DIMYM7QPY6OO,5.0 out of 5 stars
106001.0,thanks,amzn1.account.AGJCFXA3BQDVN7AVO2UJEYHVOMVQ,S Agarwal,Amazon India,R1KX316Y1IM9PS,5.0 out of 5 stars
106002.0,"My pug went for it and finished it in seconds which is so unlike him. So, it must have felt nice. I bought the small sized ones and I hope he'll continue to like this product.",amzn1.account.AFO454D27IIC7ZK75UIFPGMLCAAA,Ananth Prakash,Amazon India,R3GPO3XDR43FBF,5.0 out of 5 stars
106003.0,good product.,amzn1.account.AGMQDEKQ2HRWI4SQP7LJSA7YTRQA,Amazon Customer,Amazon India,R1B3IUOZ9H2PCH,5.0 out of 5 stars
106004.0,goood,amzn1.account.AFMZA4BUGOYGXNMCWPGRLGDMFO7Q,Amazon Customer,Amazon India,R1QXU2EL7V62TN,5.0 out of 5 stars
106005.0,my dog loves it,amzn1.account.AF4OZJ2ICXPM2KV7HTJUQI7F3T2Q,Arun,Amazon India,RQKKR3J8E33NO,5.0 out of 5 stars
106006.0,v gud,amzn1.account.AHDR2H3I2W7AIJP6ZCE6NYXEWOSQ,Prachi,Amazon India,R2PWBP26SG4GJP,5.0 out of 5 stars
106007.0,My pug just love this she is eating this and enjoying very much thanx Amazon and pedigree nice product before order please check your dog age,amzn1.account.AEZ6JQKOWOOSO2YSVB6EO5DI6WMA,satish sutar,Amazon India,R1WQKCVNCFP576,5.0 out of 5 stars
106008.0,Worth every penny. My little girl loves it.,amzn1.account.AGHKQHM3UWK2TQ4LCJB2PGJUQAYQ,Ashutosh Choksi,Amazon India,R2REIVYXH0WH90,5.0 out of 5 stars
106009.0,my kids love it,amzn1.account.AEVMZW5DFBVAX46BJIQBSYJPZ2RQ,feroza,Amazon India,R2ZE6S6I9EU0EZ,5.0 out of 5 stars
106010.0,gode,amzn1.account.AH2HI5S662LSLXLE3RSUUSUY3E6A,Amazon Customer,Amazon India,R3INKTUUPBPI3F,5.0 out of 5 stars
106011.0,The product is good.,amzn1.account.AHU62WBW4CG7MXFKXWMC5HZTGPOA,Sathish Nair,Amazon India,R2XAE58HPFFUAU,5.0 out of 5 stars
106012.0,"Good, not only Dog even my cat loved it.",amzn1.account.AFHGW36CFGDK2ISJ2K55RR5IYDPQ,A Pachuau,Amazon India,R20QFNV7IX63HB,5.0 out of 5 stars
106013.0,Yummy,amzn1.account.AHCNATYP7YS43GS5TJTBYWDOH4UA,Nicolas Reimen,Amazon India,R155H5OSEUUMTR,5.0 out of 5 stars
106014.0,my dog not eating it,amzn1.account.AFQRHZF5E6EZL6SRZYV67FLBA53Q,Pushpraj,Amazon India,R1TMOPW0L1HCVT,2.0 out of 5 stars
106015.0,"I don't know what it's like,,personally. But the dogs love it!",amzn1.account.AFMNHMPC7URVYQFR53MZQFZJFBIQ,Kindle Customer,Amazon India,R2WTYYLR4RSNBN,4.0 out of 5 stars
106016.0,My dog just loved this.,amzn1.account.AGKUBZZRNFC5FZGLDVZ466ZVIJPQ,Anupam Datta,Amazon India,R2LD72H7KISMI4,5.0 out of 5 stars
106017.0,my dog got stomach infection after eating this,amzn1.account.AGK36YDQYBE7U2WP4R6MJWYS3IEQ,Amazon Customer,Amazon India,R119E45IM3RYO8,1.0 out of 5 stars
106018.0,Our pup loves this!!!,amzn1.account.AESHUOKMKA5CAYMYQXVR4DGAUS6Q,Nagarajan,Amazon India,R2SNNJNHWKNT8Y,4.0 out of 5 stars
106019.0,good,amzn1.account.AHY57BNVANYAJWF72KBUOFRSVLGQ,anuj goyal,Amazon India,R1HRKIT490CV1,3.0 out of 5 stars
106020.0,"Got the product in good condition , and my pet loved it, it helps to remove bad breath",amzn1.account.AF2YHFACZ4QUXCNSH3JPSXDPVEQQ,Anchit Bassi,Amazon India,R2K9X7LCI578JU,4.0 out of 5 stars
106021.0,Good,amzn1.account.AG2X5YRLUW6UWFJDMAY63CUZPY2A,Amazon Customer,Amazon India,R2E1X9B04A2L9H,5.0 out of 5 stars
106022.0,Good product for the dental health of your dog. But high on cost side.,amzn1.account.AEDMBUM3UJHIGGEFBXT4EL3DKUOQ,Manmohan Dewan,Amazon India,RLWGZENRB8K0A,3.0 out of 5 stars
106023.0,Never buy this product... This product is pretty old and hard. Generally I buy this from my Vet and my pet loves it. This time my pet gave it a try and left it as is. This product is very hard and not eatable by small breed pets.,amzn1.account.AFLSWAVGPGFJSBXDKJK3EC5VNQRQ,Amarnath Ramapurath,Amazon India,R1WQC3MLHN2B2,1.0 out of 5 stars
